1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,1.1063,1.1268,0.4752,1.3675,0.6431,1.6812,0.3511,1.2834,0.6516,1.577,0.4615,0.7632,1.4551,1.001,0.4402,0.623,1.6773
,,1.0677,1.3253,1.0973,1.4117,0.6098,1.1748,0.4514,1.9432,0.955,0.7734,0.6415,1.3095,1.475,1.063,0.9758,0.8894,0.8439
,,1.0688,0.5556,0.5115,1.2752,0.5992,1.3066,0.5909,0.8072,0.7617,1.4965,0.4204,1.8174,1.37,1.194,0.5242,0.979,0.717
,,0.7842,0.7428,0.2474,1.4936,0.714,1.3746,0.7548,1.4111,0.3778,1.1491,0.3913,1.1544,1.8609,1.2304,0.5123,0.8422,1.5765
,,1.5746,0.7047,0.3529,2.4712,0.5807,0.778,0.5453,1.8168,0.5682,0.5458,0.4676,1.0826,2.0294,2.075,0.3247,0.5912,1.6783
,,1.0537,0.3937,0.2275,1.5754,0.5029,1.0722,0.4825,0.9312,0.41,0.8815,0.785,1.3784,1.4881,1.617,0.4086,0.5688,2.0793
,,1.2319,0.5465,0.6312,2.0024,0.7266,1.8002,0.5635,1.0602,0.8082,0.7285,0.3799,1.0242,1.9984,2.1397,0.9835,0.4242,1.9092
,,1.1915,0.9859,0.6013,0.9401,0.6253,0.6407,0.3656,1.5073,0.9102,0.4696,0.5133,1.044,0.8652,1.5002,0.3558,1.2487,1.0395
,,0.7231,0.3223,0.3884,1.8558,0.532,0.713,0.6901,0.5795,0.5617,1.2992,0.7697,0.9359,1.3356,1.4725,0.6613,1.2364,1.378
,,0.8635,0.8401,0.2409,1.6662,1.0386,1.4321,0.3385,1.2039,0.9837,0.7687,0.6276,0.8287,1.1027,1.2439,0.2543,1.2339,0.9209
,,1.2137,0.9065,0.2436,0.6648,0.7927,1.091,0.6415,0.9863,0.9675,0.6851,0.82,1.4302,1.3832,0.7984,0.4062,0.8982,1.5937
,,0.6026,0.6917,0.5268,1.5556,0.3614,1.0155,0.6914,0.8939,1.1106,0.7909,0.5861,1.1823,1.5403,1.4911,0.4208,0.8494,1.1151
,,2.4473,1.3906,0.4566,1.2193,0.5935,1.2513,0.7447,0.8843,0.6521,0.8072,0.4715,1.0547,1.0641,0.8806,0.7146,0.7621,1.2024
,,1.4621,0.9286,0.8738,1.8742,0.6186,1.3982,0.434,1.2121,0.8369,0.5595,0.4545,1.3682,1.1141,2.6317,0.4994,0.5392,2.3206
,,1.3736,0.926,0.5877,1.5058,0.4933,1.0911,0.7455,0.8118,0.4454,1.4497,0.3837,1.4522,1.9695,1.0447,0.5615,0.9787,0.8795
,,1.4987,1.0338,0.4599,1.88,0.7267,0.7029,0.906,1.1076,0.6848,0.9533,0.3703,1.6682,1.3822,1.1177,0.5023,0.7525,1.1509
,,1.9335,1.0725,0.6866,1.8506,0.4581,0.9914,0.4246,0.884,0.8308,0.5778,0.429,1.6161,1.1131,1.4412,0.415,1.1356,1.4746
,,1.9334,1.4131,0.5449,0.9941,1.1065,1.2036,0.5302,0.8392,1.4997,1.0932,0.6492,1.5164,2.9879,2.4925,0.5265,0.754,1.0687
