1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2.7826,2.2672,1.1566,0.638,0.998,0.8957,1.2229,1.0621,0.5871,1.3533,0.4681,0.478,0.5925,0.5906,0.5656,0.8874,0.8628,0.8487,1.0689
2.3123,1.8087,1.3618,0.7401,0.7676,0.7136,1.3808,1.9407,0.462,0.978,0.3643,0.366,1.136,0.7014,0.8758,0.8218,0.7478,0.7168,1.3894
2.1908,1.7218,1.4758,0.7858,0.6951,0.6594,1.1979,1.2569,0.554,0.8605,0.3554,0.5938,0.6233,0.6413,0.5317,0.9825,0.6441,0.7531,1.0671
2.6499,1.7221,1.4967,0.906,0.8066,0.8766,0.8275,1.5945,0.6248,1.317,0.6308,0.4922,1.0477,0.7441,0.6037,1.1846,1.0328,0.8083,0.6888
2.189,2.4413,0.9478,0.8035,0.933,0.9777,0.6599,1.0605,0.5863,1.0806,0.4285,0.4806,0.6972,0.5954,0.6611,1.0959,1.0029,1.0375,1.0615
1.6423,1.8322,1.4823,0.6655,1.0203,0.738,1.0102,1.6184,0.88,1.082,0.6804,0.4593,0.939,0.591,0.6329,1.132,0.8586,1.0351,1.03
2.4412,1.754,1.6484,0.8872,0.788,0.5954,1.225,1.3421,0.5152,0.8322,0.4428,0.4683,0.9491,0.5304,0.7327,1.4135,0.8,0.7211,1.1629
1.1604,1.8712,1.4637,0.5718,1.211,0.7197,0.856,1.7464,0.6737,0.952,0.4704,0.5112,0.942,0.5018,0.7385,1.1442,1.0284,1.2189,1.0308
2.1745,2.0222,1.4995,0.7992,0.8149,0.9688,0.9628,1.3559,0.6091,1.258,0.453,0.3953,0.8484,0.619,0.7827,1.1331,0.6974,0.685,0.9887
2.7681,2.0299,1.5326,0.6403,0.771,0.8555,0.9138,1.1367,0.648,1.0093,0.493,0.4658,0.8633,0.4539,0.5204,1.003,0.984,0.9936,0.9339
1.5829,1.8343,1.2212,0.9989,1.1625,0.6015,0.6928,1.0891,0.6039,1.1308,0.4334,0.4183,0.8182,0.5934,0.6846,1.1004,0.6595,0.8418,1.3216
2.4502,2.6466,1.0775,0.7364,1.1159,0.9664,0.8267,1.7325,0.5489,1.046,0.5091,0.8059,0.7888,0.6159,0.637,0.9822,0.7424,0.764,0.9266
1.736,1.8645,1.039,0.6139,0.8612,0.7052,0.818,1.1682,0.6853,1.0325,0.508,0.4159,0.8246,0.5143,0.5632,1.1303,0.7947,0.8335,1.0204
2.3066,1.2812,0.9182,0.7249,0.7446,0.9413,0.9951,1.6223,0.6694,0.9488,0.6173,0.2526,0.9341,0.6157,0.642,0.9947,0.9506,0.7564,0.8334
