1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.9025,0.7702,0.2716,0.7139,0.2993,0.4045,0.3086,0.5041,0.4397,0.1901,0.3763,0.3578,0.3674,0.1908,0.2339,0.2316,0.2274,0.2642,0.1883
0.5512,0.9322,0.4347,0.5953,0.377,0.4054,0.3879,0.5414,0.4461,0.1695,0.4555,0.2908,0.2997,0.1693,0.2007,0.3979,0.3433,0.1575,0.215
0.5974,0.569,0.2134,0.5821,0.3423,0.4594,0.3563,0.4021,0.4316,0.3952,0.2986,0.3683,0.1943,0.1579,0.2403,0.3604,0.3087,0.2011,0.1954
0.6724,1.1185,0.3964,0.5845,0.3454,0.6252,0.4869,0.537,0.5639,0.2447,0.1887,0.3148,0.2751,0.1677,0.1909,0.343,0.2577,0.3273,0.19
0.668,0.8171,0.236,0.6695,0.3754,0.4014,0.2939,0.3852,0.5837,0.1444,0.3266,0.3341,0.2033,0.1272,0.2746,0.2892,0.2679,0.1829,0.1303
0.7059,0.9425,0.1992,0.3683,0.3594,0.4528,0.2164,0.3992,0.7574,0.1414,0.3033,0.379,0.1694,0.1872,0.1704,0.3247,0.2662,0.1835,0.2095
0.6851,0.6051,0.3875,0.4502,0.2163,0.362,0.2966,0.594,0.4818,0.223,0.2881,0.3895,0.27,0.1866,0.2739,0.3405,0.2961,0.1516,0.134
0.6113,0.5945,0.2962,0.3772,0.4415,0.4485,0.2594,0.8325,0.4021,0.246,0.4508,0.346,0.2784,0.1238,0.1468,0.3559,0.389,0.2099,0.2064
0.562,0.3651,0.3406,0.2809,0.4184,0.3275,0.3071,0.5191,0.7035,0.2755,0.4439,0.3549,0.278,0.2416,0.1874,0.3201,0.3885,0.2124,0.2844
0.8737,0.4959,0.2612,0.466,0.3317,0.3502,0.4782,0.474,0.5087,0.1362,0.5621,0.2982,0.3339,0.1423,0.1579,0.2036,0.441,0.1832,0.2597
0.8536,0.6011,0.4598,0.6443,0.317,0.4197,0.3773,0.6825,0.8532,0.2802,0.3902,0.4898,0.3362,0.227,0.1608,0.3961,0.2871,0.2572,0.26
1.0019,0.6161,0.2392,0.548,0.357,0.5657,0.3485,0.6272,0.4528,0.2635,0.4745,0.1805,0.1727,0.3111,0.2077,0.3298,0.2837,0.2333,0.1806
0.8382,0.8087,0.3433,0.3836,0.4277,0.715,0.4237,0.6937,0.5636,0.2019,0.3632,0.2569,0.1845,0.1919,0.2431,0.3237,0.1984,0.1872,0.2626
0.8201,0.7276,0.3355,0.4791,0.3387,0.7232,0.3851,0.5822,0.6807,0.2514,0.4735,0.3193,0.2178,0.2123,0.2351,0.3122,0.3471,0.2985,0.2067
0.7421,0.6267,0.1109,0.4771,0.3174,0.3535,0.3547,0.4397,0.4576,0.2021,0.2975,0.2531,0.27,0.1455,0.2178,0.3247,0.3012,0.1868,0.2422
0.7299,0.5107,0.3559,0.5114,0.2914,0.4338,0.2958,0.3855,0.3486,0.1981,0.3273,0.2932,0.327,0.1534,0.1956,0.2747,0.3355,0.208,0.3346
0.762,0.5641,0.2698,0.6431,0.3369,0.3786,0.3131,0.531,0.4861,0.175,0.3099,0.2943,0.3111,0.1801,0.1889,0.2043,0.2264,0.1722,0.1995
0.8103,0.5987,0.2635,0.3874,0.4522,0.3971,0.3007,0.6401,0.3823,0.1289,0.354,0.3204,0.2174,0.0752,0.2791,0.4709,0.2914,0.0931,0.2424
0.8048,0.7149,0.3764,0.6642,0.5539,0.5966,0.5161,0.7907,0.5798,0.1813,0.3001,0.3606,0.1775,0.2076,0.1591,0.4049,0.3033,0.2296,0.3062
0.6633,0.7714,0.3592,0.4481,0.4172,0.4759,0.2519,0.4912,0.4487,0.1817,0.281,0.2833,0.2384,0.1745,0.3441,0.4454,0.2566,0.2774,0.2347
0.6617,0.8645,0.2594,0.7261,0.2614,0.4043,0.2167,0.5309,0.6584,0.1526,0.4394,0.2693,0.1504,0.1414,0.1957,0.3359,0.3658,0.2127,0.1706
0.8354,0.7912,0.2264,0.6283,0.3862,0.5014,0.3524,0.376,0.3357,0.2169,0.3739,0.2716,0.1903,0.117,0.2324,0.3282,0.3569,0.1585,0.2002
0.7164,0.3724,0.5801,0.5743,0.3312,0.4075,0.3481,0.3473,0.564,0.2618,0.4459,0.281,0.186,0.2738,0.2158,0.4503,0.2883,0.1451,0.191
0.8767,0.5077,0.2624,0.5105,0.5181,0.4121,0.4114,0.4238,0.4829,0.2586,0.3603,0.4339,0.351,0.1173,0.1463,0.2499,0.2399,0.2073,0.1989
0.6588,0.8702,0.2979,0.4367,0.3115,0.4937,0.3277,0.6478,0.5846,0.2426,0.478,0.2944,0.1521,0.2403,0.393,0.3837,0.3145,0.2089,0.2434
0.4407,0.3594,0.2517,1.034,0.3632,0.3505,0.4765,0.4594,0.5283,0.1282,0.3828,0.2765,0.1862,0.1459,0.1479,0.2636,0.3375,0.1757,0.2611
0.8122,0.9059,0.3397,0.4675,0.4169,0.5733,0.3129,0.331,0.4203,0.1629,0.3457,0.2804,0.1989,0.1605,0.2316,0.3281,0.2641,0.2164,0.1567
0.4831,0.6414,0.2221,0.6094,0.2429,0.6775,0.3518,0.4999,0.4915,0.2835,0.4375,0.3887,0.2711,0.1824,0.1824,0.2911,0.3015,0.2126,0.2858
0.7704,0.8807,0.306,0.6396,0.5277,0.4012,0.3442,0.5508,0.4024,0.1534,0.3751,0.3229,0.3342,0.186,0.3442,0.4401,0.4233,0.2096,0.2707
0.7969,0.5102,0.2514,0.5554,0.3664,0.3174,0.2852,0.8899,0.621,0.2205,0.4219,0.4342,0.4437,0.1475,0.2031,0.2153,0.3027,0.2381,0.2546
0.5518,0.728,0.3005,0.5989,0.3428,0.3531,0.3566,0.4834,0.755,0.2294,0.3757,0.2829,0.2282,0.1386,0.2243,0.4576,0.3446,0.366,0.2297
0.7832,0.9782,0.3425,0.546,0.3616,0.4661,0.4242,0.5926,0.4597,0.1739,0.3842,0.3336,0.227,0.1728,0.231,0.1781,0.2938,0.1726,0.2883
0.8328,0.5844,0.3695,0.7295,0.3112,0.3359,0.4257,0.5576,0.6697,0.2772,0.6768,0.3132,0.3478,0.1635,0.1487,0.268,0.2106,0.2051,0.2509
0.7219,0.5923,0.2522,0.7765,0.4109,0.4055,0.2601,0.4406,0.6621,0.1331,0.418,0.4312,0.2996,0.2281,0.1799,0.4894,0.2881,0.2637,0.2424
0.765,0.6925,0.3717,0.7404,0.3287,0.4966,0.3229,0.3695,0.7009,0.2749,0.2237,0.379,0.2008,0.2055,0.3452,0.4517,0.301,0.2184,0.2332
0.9783,0.8468,0.2921,0.5103,0.4065,0.4684,0.3356,0.4716,0.4091,0.2114,0.3825,0.3032,0.2473,0.1258,0.1519,0.398,0.3243,0.2706,0.2237
0.5585,0.9266,0.4121,0.7747,0.364,0.3642,0.531,0.3962,0.5746,0.2459,0.4311,0.2678,0.1567,0.1423,0.2387,0.3015,0.3274,0.1941,0.1982
